"Variable","Media","Desv_Est","Mínimo","Mediana","Máximo"
"POBLACIÓN_5_16",3143.45140786095,2819.80308443534,1.005,2220,14013
"TASA_MATRICULACIÓN_5_16",0.831851431957338,0.127178007750153,0.4538,0.837,1.2347
"COBERTURA_NETA",0.841260991507012,0.114616789436571,0.513,0.8514,1.1704
"COBERTURA_NETA_TRANSICIÓN",0.575259470669564,0.13404698157046,0.2061,0.5751,0.9461
"COBERTURA_NETA_PRIMARIA",0.810381137665416,0.120231362477688,0.4793,0.813,1.1562
"COBERTURA_NETA_SECUNDARIA",0.714800197511357,0.129712865191727,0.3421,0.7152,1.0759
"COBERTURA_NETA_MEDIA",0.431012719731385,0.12113932892833,0.0765,0.4345,0.7619
"COBERTURA_BRUTA",0.947263677661466,0.140934062800138,0.5523,0.953,1.3556
"COBERTURA_BRUTA_TRANSICIÓN",0.821986233458424,0.17662530617442,0.3478,0.819,1.348
"COBERTURA_BRUTA_PRIMARIA",1.00103606557377,0.175507917220837,0.534,1,1.4775
"COBERTURA_BRUTA_SECUNDARIA",1.00579162551847,0.181161765304935,0.516,1.006,1.4966
"COBERTURA_BRUTA_MEDIA",0.758422555796958,0.187255149041035,0.237,0.758,1.28
"DESERCIÓN",0.0301519059845941,0.0159789550647077,0,0.028,0.0831
"DESERCIÓN_TRANSICIÓN",0.0291505826585029,0.0214385961512184,0,0.0265,0.0952
"DESERCIÓN_PRIMARIA",0.022821746000395,0.0154094430643104,0,0.0202,0.0702
"DESERCIÓN_SECUNDARIA",0.0405637369148726,0.0240101104827247,0,0.0374,0.1136
"DESERCIÓN_MEDIA",0.0282558759628679,0.0186987090254835,0,0.0252,0.0845
"APROBACIÓN",0.933708532490618,0.0369962999404556,0.8089,0.9364,1
"APROBACIÓN_TRANSICIÓN",0,0,0,0,0
"APROBACIÓN_PRIMARIA",0.948471854631641,0.034206210140644,0.8321,0.9535,1
"APROBACIÓN_SECUNDARIA",0.904672131147541,0.0593730557297005,0.6981,0.9113,1
"APROBACIÓN_MEDIA",0.941098044637567,0.0368220185903803,0.8175,0.9463,1
"REPROBACIÓN",0.036139285008888,0.0309901565291505,0,0.034,0.1504
"REPROBACIÓN_TRANSICIÓN",0,0,0,0,0
"REPROBACIÓN_PRIMARIA",0.0287070511554414,0.0282126143368358,0,0.023,0.1265
"REPROBACIÓN_SECUNDARIA",0.0547642109421292,0.0513013445091241,0,0.0475,0.2391
"REPROBACIÓN_MEDIA",0.0306467904404503,0.0301876503977353,0,0.0228,0.125
"REPITENCIA",0.0243569425241951,0.0220418443579608,0,0.0176,0.1007
"REPITENCIA_TRANSICIÓN",0.00296425044440055,0.00561423251589035,0,0,0.0245
"REPITENCIA_PRIMARIA",0.0233385542168675,0.0231156363968758,0,0.0159,0.0994
"REPITENCIA_SECUNDARIA",0.0342894726446771,0.033781479923096,0,0.0233,0.1413
"REPITENCIA_MEDIA",0.0116826387517282,0.013462541384695,0,0.0068,0.0532
